time,cmd_vx,cmd_vy,cmd_wz,real_vx,real_vy,real_wz
0.0,0.0,0.0,0.0,0.0048586928902840274,-0.01462330435773342,-0.07254923648011745
0.005,0.0,0.0,0.0,0.00740069427948223,-0.02613804745967747,-0.10639184348539907
0.01,0.0,0.0,0.0,0.008431493502247632,-0.03344279269824468,-0.13374381440074157
0.015,0.0,0.0,0.0,0.008576758675205163,-0.03704024043930811,-0.15438132618048886
0.02,0.0,0.0,0.0,0.008148443850079467,-0.03785111213972208,-0.1664770565129603
0.025,0.0,0.0,0.0,0.0073409750620992845,-0.03668729500203517,-0.17107342212362553
0.030000000000000002,0.0,0.0,0.0,0.006292958407170462,-0.0341977959084215,-0.17019732045843391
0.035,0.0,0.0,0.0,0.005118490474023644,-0.030886900232892055,-0.16550713361550437
0.04,0.0,0.0,0.0,0.00392271587557315,-0.027142181574510354,-0.15798096659494704
0.045,0.0,0.0,0.0,0.0028018592484418104,-0.023249774393095432,-0.14814299103153253
0.049999999999999996,0.0,0.0,0.0,0.0018304029426643093,-0.019409997886429265,-0.13635888170962326
0.05499999999999999,0.0,0.0,0.0,0.0010610254679686505,-0.015747305623036695,-0.12314574760658462
0.05999999999999999,0.0,0.0,0.0,0.0005484386249604206,-0.012327430197088467,-0.10890992232872931
0.06499999999999999,0.0,0.0,0.0,0.00032426509751724706,-0.009189076779384424,-0.09377764880530343
0.06999999999999999,0.0,0.0,0.0,0.0003951688757135626,-0.006350643117275541,-0.07781896231491647
0.075,0.0,0.0,0.0,0.0007370823600406349,-0.003829235910085263,-0.061027918115532986
0.08,0.0,0.0,0.0,0.0013045919919837951,-0.0016450260907342256,-0.04352994402148567
0.085,0.0,0.0,0.0,0.0020433614958130764,0.00018725671825421675,-0.025896171847509454
0.09000000000000001,0.0,0.0,0.0,0.002889536689255492,0.0016715146617493572,-0.008749478261506752
0.09500000000000001,0.0,0.0,0.0,0.0037626425914594887,0.0028337697585214773,0.0071160616851008475
0.10000000000000002,0.0,0.0,0.0,0.004592820431714838,0.0037146558615232337,0.021042131632035485
0.10500000000000002,0.0,0.0,0.0,0.005331960020450855,0.00436305517081983,0.03266313886288187
0.11000000000000003,0.0,0.0,0.0,0.005947105585504802,0.004824202328336735,0.04184125971285042
0.11500000000000003,0.0,0.0,0.0,0.006418446910907733,0.0051383595434115244,0.048566234613621646
0.12000000000000004,0.0,0.0,0.0,0.006735043136940998,0.005333726576613972,0.052960684129215514
0.12500000000000003,0.0,0.0,0.0,0.006898348570229825,0.0054256909227455895,0.05526331643398276
0.13000000000000003,0.0,0.0,0.0,-0.02712460027978843,-6.856378791848285e-05,0.23775992705732069
